Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,236.899994,243.000000,236.860001,238.699997,238.699997,8165500
2021-06-24,244.300003,248.899994,243.009995,244.149994,244.149994,8165700
2021-06-25,243.190002,244.869995,237.149994,239.940002,239.940002,7614800
2021-06-28,241.699997,247.729996,241.699997,246.600006,246.600006,7372300
2021-06-29,247.839996,251.910004,246.141006,248.869995,248.869995,6186800
2021-06-30,248.080002,248.789993,243.339996,243.800003,243.800003,6655500
2021-07-01,242.820007,245.050003,237.800003,241.850006,241.850006,5616900
2021-07-02,243.000000,245.410004,239.360001,241.080002,241.080002,4401500
2021-07-06,241.309998,249.369995,241.309998,246.699997,246.699997,6252200
2021-07-07,250.000000,254.779999,244.309998,244.639999,244.639999,7238300
2021-07-08,238.750000,239.000000,230.600006,235.899994,235.899994,7683000
2021-07-09,239.000000,241.960007,235.559998,241.889999,241.889999,5404600
2021-07-12,243.580002,247.220001,241.781006,243.350006,243.350006,5722700
2021-07-13,243.350006,247.490005,239.839996,241.429993,241.429993,6304500
2021-07-14,244.350006,246.190002,238.479996,239.000000,239.000000,6188300
2021-07-15,239.830002,241.621002,233.110001,235.160004,235.160004,7143500
2021-07-16,238.699997,241.770004,234.399994,237.520004,237.520004,7879900
2021-07-19,231.910004,234.020004,225.279999,233.690002,233.690002,7310000
2021-07-20,234.610001,247.690002,232.199997,246.470001,246.470001,8851600
2021-07-21,246.279999,258.500000,244.800003,257.250000,257.250000,9068900
2021-07-22,256.929993,262.569000,256.500000,260.589996,260.589996,6660100
2021-07-23,261.850006,267.769989,261.279999,264.000000,264.000000,6374100
2021-07-26,264.970001,265.739990,260.399994,261.989990,261.989990,5928300
2021-07-27,261.279999,261.859985,245.057007,251.729996,251.729996,7828100
2021-07-28,254.029999,259.869995,250.770004,258.609985,258.609985,4698900
2021-07-29,255.509995,261.829987,254.529999,255.279999,255.279999,4713800
2021-07-30,249.279999,254.360001,244.350006,247.259995,247.259995,7548100
2021-08-02,247.929993,280.875000,247.009995,272.380005,272.380005,45730600
2021-08-03,270.429993,274.950012,261.750000,269.489990,269.489990,21445100
2021-08-04,268.000000,268.390015,261.000000,266.420013,266.420013,10241400
2021-08-05,265.600006,289.230011,264.769989,281.809998,281.809998,19413700
2021-08-06,279.510010,285.859985,273.100006,275.100006,275.100006,9482100
2021-08-09,272.989990,286.519989,270.630005,279.730011,279.730011,10561700
2021-08-10,280.010010,283.589996,272.640015,273.079987,273.079987,6694800
2021-08-11,277.760010,281.339996,269.614990,271.089996,271.089996,8018200
2021-08-12,270.450012,272.839996,265.549988,268.589996,268.589996,5208800
2021-08-13,269.950012,271.910004,266.459991,267.880005,267.880005,4258600
2021-08-16,266.350006,267.380005,257.600006,263.399994,263.399994,6543000
2021-08-17,260.980011,264.250000,257.910004,260.880005,260.880005,5707800
2021-08-18,261.540009,266.666992,259.079987,259.660004,259.660004,4705100
2021-08-19,256.839996,260.480011,254.139999,257.350006,257.350006,5121000
2021-08-20,257.140015,263.500000,257.084991,263.049988,263.049988,4734500
2021-08-23,267.709991,273.500000,267.070007,270.440002,270.440002,6071300
2021-08-24,272.399994,274.187988,269.130005,270.170013,270.170013,4258100
2021-08-25,269.529999,270.325012,266.220001,267.570007,267.570007,3428700
2021-08-26,268.000000,268.000000,260.940002,262.130005,262.130005,4314400
2021-08-27,262.000000,270.484009,261.614990,268.010010,268.010010,4640300
2021-08-30,271.000000,273.869995,268.500000,271.920013,271.920013,6348100
